photoID,viewerID
11000,11011
11000,11012
11000,11013
11000,11014
11000,11015
11001,11011
11001,11012
11001,11013
11001,11014
11001,11015
11002,11011
11002,11012
11002,11013
11002,11014
11002,11015
11003,11005
11003,11007
11003,11008
11003,11009
11003,11010
11004,11005
11004,11007
11004,11008
11004,11009
11004,11010
11005,11011
11005,11012
11005,11013
11005,11014
11005,11015
11006,11011
11006,11012
11006,11013
11006,11014
11006,11015
11007,11011
11007,11012
11007,11013
11007,11014
11007,11015
11008,11011
11008,11012
11008,11013
11008,11014
11008,11015
11009,11011
11009,11012
11009,11013
11009,11014
11009,11015
11010,11005
11010,11007
11010,11008
11010,11009
11010,11010
11011,11001
11011,11002
11011,11003
11011,11004
11011,11005
11012,11011
11012,11012
11012,11013
11012,11014
11012,11015
11013,11001
11013,11002
11013,11003
11013,11004
11013,11005
11014,11001
11014,11002
11014,11003
11014,11004
11014,11005
